Timestamp;Temperature (°C);Heat (V);Fan (V)
2024-05-21 20:49:21;31,21;0;5
2024-05-21 20:49:22;30,96;0;5
2024-05-21 20:49:22;30,76;0;5
2024-05-21 20:49:23;30,52;0;5
2024-05-21 20:49:23;30,33;0;5
2024-05-21 20:49:24;30,14;0;5
2024-05-21 20:49:24;29,96;0;5
2024-05-21 20:49:25;29,78;0;5
2024-05-21 20:49:25;29,6;0;5
2024-05-21 20:49:26;29,44;0;5
2024-05-21 20:49:27;29,24;0;5
2024-05-21 20:49:27;29,08;0;5
2024-05-21 20:49:28;28,93;5;5
2024-05-21 20:49:28;28,94;5;5
2024-05-21 20:49:29;29,15;5;5
2024-05-21 20:49:29;29,41;5;5
2024-05-21 20:49:30;29,66;5;5
2024-05-21 20:49:30;29,9;5;5
2024-05-21 20:49:31;30,13;5;5
2024-05-21 20:49:32;30,36;5;5
2024-05-21 20:49:32;30,63;5;5
2024-05-21 20:49:33;30,85;5;5
2024-05-21 20:49:33;31,06;5;5
2024-05-21 20:49:34;31,26;5;5
2024-05-21 20:49:34;31,46;5;5
2024-05-21 20:49:35;31,66;5;5
2024-05-21 20:49:36;31,85;5;5
2024-05-21 20:49:36;32,04;5;5
2024-05-21 20:49:37;32,22;5;5
2024-05-21 20:49:37;32,39;5;5
2024-05-21 20:49:38;32,56;5;5
2024-05-21 20:49:38;32,77;5;5
2024-05-21 20:49:39;32,93;5;5
2024-05-21 20:49:39;33,09;5;5
2024-05-21 20:49:40;33,24;5;5
2024-05-21 20:49:41;33,42;5;5
2024-05-21 20:49:41;33,57;5;5
2024-05-21 20:49:42;33,71;5;5
2024-05-21 20:49:42;33,85;5;5
2024-05-21 20:49:43;33,98;5;5
2024-05-21 20:49:43;34,11;5;5
2024-05-21 20:49:44;34,24;5;5
2024-05-21 20:49:45;34,39;5;5
2024-05-21 20:49:45;34,51;5;5
2024-05-21 20:49:46;34,63;5;5
2024-05-21 20:49:46;34,75;5;5
2024-05-21 20:49:47;34,86;5;5
2024-05-21 20:49:47;34,97;5;5
2024-05-21 20:49:48;35,1;5;5
2024-05-21 20:49:49;35,2;5;5
